mesh 2,mesh 2,mesh 2,nuclide,score,mean,std. dev.
x,y,z,,,,
102,1,1,total,absorption,4.732276151904418e-09,4.732276151904417e-09
103,1,1,total,flux,2.632798564732924e-06,2.2565772976592803e-06
103,1,1,total,"(n,Xt)",0.0,0.0
103,1,1,total,heating-local,0.0,0.0
103,1,1,total,absorption,6.711019518722876e-09,4.914609467653365e-09
104,1,1,total,flux,3.463530613815935e-06,2.4418982271222454e-06
104,1,1,total,"(n,Xt)",0.0,0.0
104,1,1,total,heating-local,0.0,0.0
104,1,1,total,absorption,1.124725513027855e-08,7.621416470812793e-09
105,1,1,total,flux,3.460576770240423e-06,2.4393364941015357e-06
105,1,1,total,"(n,Xt)",0.0,0.0
105,1,1,total,heating-local,0.0,0.0
105,1,1,total,absorption,1.123554055622618e-08,7.61525417390296e-09
106,1,1,total,flux,3.4577268697561017e-06,2.436865773141533e-06
106,1,1,total,"(n,Xt)",0.0,0.0
106,1,1,total,heating-local,0.0,0.0
106,1,1,total,absorption,1.1224238331199524e-08,7.609320227172154e-09
107,1,1,total,flux,3.4549758626721438e-06,2.4344815980341783e-06
107,1,1,total,"(n,Xt)",0.0,0.0
107,1,1,total,heating-local,0.0,0.0
107,1,1,total,absorption,1.1213328417062087e-08,7.603602926135158e-09
108,1,1,total,flux,5.859923856565801e-06,3.140857919750151e-06
108,1,1,total,"(n,Xt)",0.0,0.0
108,1,1,total,heating-local,0.0,0.0
108,1,1,total,absorption,1.5871462817242453e-08,8.24043562929542e-09
109,1,1,total,flux,4.071309565418844e-06,2.411333408160961e-06
109,1,1,total,"(n,Xt)",0.0,0.0
109,1,1,total,heating-local,0.0,0.0
109,1,1,total,absorption,1.2397895781032847e-08,7.490334181577576e-09
110,1,1,total,flux,3.44727029065362e-06,2.427807780546391e-06
110,1,1,total,"(n,Xt)",0.0,0.0
110,1,1,total,heating-local,0.0,0.0
110,1,1,total,absorption,1.1182770360042099e-08,7.587645029114439e-09
111,1,1,total,flux,3.444870315839794e-06,2.4257304434821052e-06
111,1,1,total,"(n,Xt)",0.0,0.0
111,1,1,total,heating-local,0.0,0.0
111,1,1,total,absorption,1.1173252946467812e-08,7.582691763056154e-09
112,1,1,total,flux,3.442548263517381e-06,2.4237211384295893e-06
112,1,1,total,"(n,Xt)",0.0,0.0
112,1,1,total,heating-local,0.0,0.0
112,1,1,total,absorption,1.11640446310266e-08,7.57790701114595e-09
113,1,1,total,flux,3.440300654126745e-06,2.4217767992545013e-06
113,1,1,total,"(n,Xt)",0.0,0.0
113,1,1,total,heating-local,0.0,0.0
113,1,1,total,absorption,1.115513160745603e-08,7.573282867400124e-09
114,1,1,total,flux,3.4381242072615244e-06,2.419894536939304e-06
114,1,1,total,"(n,Xt)",0.0,0.0
114,1,1,total,heating-local,0.0,0.0
114,1,1,total,absorption,1.1146500859889792e-08,7.568811900915634e-09
115,1,1,total,flux,3.4360158277268493e-06,2.418071627074829e-06
115,1,1,total,"(n,Xt)",0.0,0.0
115,1,1,total,heating-local,0.0,0.0
115,1,1,total,absorption,1.1138140107514266e-08,7.56448712105319e-09
116,1,1,total,flux,2.5178571451895244e-06,1.680992841583391e-06
116,1,1,total,"(n,Xt)",0.0,0.0
116,1,1,total,heating-local,0.0,0.0
116,1,1,total,absorption,7.491309410675462e-09,6.500953110150356e-09
117,1,1,total,flux,2.925550481390062e-06,1.5509319426882012e-06
117,1,1,total,"(n,Xt)",0.0,0.0
117,1,1,total,heating-local,0.0,0.0
117,1,1,total,absorption,6.537320015863927e-09,6.537320015863928e-09
118,1,1,total,flux,4.1474454986584e-06,2.2052884006601814e-06
118,1,1,total,"(n,Xt)",0.0,0.0
118,1,1,total,heating-local,0.0,0.0
118,1,1,total,absorption,6.5371912847572805e-09,6.5371912847572805e-09
119,1,1,total,flux,4.11035206082454e-06,2.178252480479699e-06
119,1,1,total,"(n,Xt)",0.0,0.0
119,1,1,total,heating-local,0.0,0.0
119,1,1,total,absorption,6.537065806292677e-09,6.537065806292677e-09
120,1,1,total,flux,4.076229025829577e-06,2.153645514125392e-06
120,1,1,total,"(n,Xt)",0.0,0.0
